Regional_District,Year,Total_Disposed_Tonnes,Population,Disposal_Rate_kg
Squamish-Lillooet,2019,29971.32,69020,434
Squamish-Lillooet,2020,30622,62679,489
Squamish-Lillooet,2021,29184,66293,440
Squamish-Lillooet,2022,26265,73110,359
Squamish-Lillooet,2023,29250,82439,355
Squamish-Lillooet,2024,29700,56433,526
Sunshine Coast,1990,17207,19119,900
Sunshine Coast,1991,0,NA,NA
Sunshine Coast,1992,0,NA,NA
Sunshine Coast,1993,0,NA,NA
Sunshine Coast,1994,0,NA,NA
Sunshine Coast,1995,0,NA,NA
Sunshine Coast,1996,12582,24914,505
Sunshine Coast,1997,12256,25911,473
Sunshine Coast,1998,11776,26947,437
Sunshine Coast,1999,11990,27755,432
Sunshine Coast,2000,11606,27438,423
Sunshine Coast,2001,11724,26586,441
Sunshine Coast,2002,12281,27110,453
Sunshine Coast,2003,12955,27389,473
Sunshine Coast,2004,14073,27702,508
Sunshine Coast,2005,14079,28557,493
Sunshine Coast,2006,0,NA,NA
Sunshine Coast,2007,14088,28590,493
Sunshine Coast,2008,0,NA,NA
Sunshine Coast,2009,0,NA,NA
Sunshine Coast,2010,12983,29984,433
Sunshine Coast,2011,0,NA,NA
Sunshine Coast,2012,11679,29115,401
Sunshine Coast,2013,10229.13,29098,352
Sunshine Coast,2014,11785,29584,398
Sunshine Coast,2015,12360.61,29177,424
Sunshine Coast,2016,12676.92,29243,434
Sunshine Coast,2017,12975.72,29390,442
Sunshine Coast,2018,12894,31977,403
Sunshine Coast,2019,13563,31810,426
Sunshine Coast,2020,13360,31723,421
Sunshine Coast,2021,13612,32307,421
Sunshine Coast,2022,12239,32865,372
Sunshine Coast,2023,11865,34104,348
Sunshine Coast,2024,11797,34208,345
Thompson-Nicola,1990,69939,104386,670
Thompson-Nicola,1991,0,NA,NA
Thompson-Nicola,1992,0,NA,NA
Thompson-Nicola,1993,0,NA,NA
Thompson-Nicola,1994,0,NA,NA
Thompson-Nicola,1995,0,NA,NA
Thompson-Nicola,1996,70345,124725,564
Thompson-Nicola,1997,82698,125681,658
Thompson-Nicola,1998,65680,126796,518
Thompson-Nicola,1999,73643,128298,574
Thompson-Nicola,2000,75772,130192,582
Thompson-Nicola,2001,93044,124891,745
Thompson-Nicola,2002,93999,126173,745
Thompson-Nicola,2003,82354,125924,654
Thompson-Nicola,2004,80728,127532,633
Thompson-Nicola,2005,88865,128790,690
Thompson-Nicola,2006,80033,128671,622
Thompson-Nicola,2007,135890,127335,1067
Thompson-Nicola,2008,0,NA,NA
Thompson-Nicola,2009,0,NA,NA
Thompson-Nicola,2010,86225,131641,655
Thompson-Nicola,2011,0,NA,NA
Thompson-Nicola,2012,82183,130541,630
Thompson-Nicola,2013,58307,131730,443
Thompson-Nicola,2014,58308,133270,438
Thompson-Nicola,2015,71800,133256,539
Thompson-Nicola,2016,80406.45999999999,135074,595
Thompson-Nicola,2017,83952.26,138423,606
Thompson-Nicola,2018,88991,142299,625
Thompson-Nicola,2019,94359,146096,646
Thompson-Nicola,2020,94949,147432,644
Thompson-Nicola,2021,94692,148289,639
Thompson-Nicola,2022,98055,150365,652
Thompson-Nicola,2023,92121,156094,590
Thompson-Nicola,2024,78300,158876,493
